source,source_id,source_url,perusahaan_source_id,perusahaan_nama,perusahaan_id,judul,slug,deskripsi,lokasi,durasi,kuota,status,tgl_buka,tgl_tutup,syarat,kontak_email,scraped_at
maganghub,a240dfea-ba42-4809-af89-9f8dc2b68433,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-bmn-a240dfea-ba42-4809-af89-9f8dc2b68433,28d0720d-482f-4e9a-93f1-c554497b1267,LEMBAGA PEMASYARAKATAN KELAS IIA LOMBOK BARAT,maganghub-28d0720d-482f-4e9a-93f1-c554497b1267,PENGELOLA BMN,pengelola-bmn-a240dfea-ba42-4809-af89-9f8dc2b68433,"1. Mengelola aset dan inventaris milik negara di unit kerja. | 2. Mencatat penerimaan, pemakaian, dan penghapusan barang. | 3. Melakukan inventarisasi berkala. | 4. Menyusun laporan aset sesuai ketentuan.",Kab. Lombok Barat,,1,Aktif,2026-07-14,2026-07-28,Program studi: Manajemen Aset Publik | Tingkat pendidikan: Sarjana,,2026-08-11T05:35:59Z
maganghub,a240d8ca-103d-479e-9e1e-d32757b20439,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/psikiater-a240d8ca-103d-479e-9e1e-d32757b20439,28d0720d-482f-4e9a-93f1-c554497b1267,LEMBAGA PEMASYARAKATAN KELAS IIA LOMBOK BARAT,maganghub-28d0720d-482f-4e9a-93f1-c554497b1267,PSIKIATER,psikiater-a240d8ca-103d-479e-9e1e-d32757b20439,1. Menangani gangguan kesehatan jiwa warga binaan atau pegawai. | 2. Melakukan asesmen psikologis dan terapi. | 3. Menyusun laporan perkembangan pasien. | 4. Memberikan rekomendasi tindak lanjut pemulihan.,Kab. Lombok Barat,,1,Aktif,2026-07-14,2026-07-28,Program studi: Kedokteran | Tingkat pendidikan: Sarjana,,2026-08-11T05:36:01Z
maganghub,a240e056-d2ab-40b6-8d24-04767ce99c9e,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-kehumasan-a240e056-d2ab-40b6-8d24-04767ce99c9e,28d0720d-482f-4e9a-93f1-c554497b1267,LEMBAGA PEMASYARAKATAN KELAS IIA LOMBOK BARAT,maganghub-28d0720d-482f-4e9a-93f1-c554497b1267,PENGELOLA KEHUMASAN,pengelola-kehumasan-a240e056-d2ab-40b6-8d24-04767ce99c9e,"1. Menyusun materi layanan informasi untuk media elektronik | 2. Menyusun berita pelayanan informasi dan kehumasan melalui media: cetak, elektornik dan daring (online) | 3. Menyusun naskah pelayanan informasi dan kehumasan dalam bentuk: ceramah, piodato, dan bahan tayang | 4. Menyelenggarakan penerbitan materi pelayanan informasi untuk media cetak, elektronik, dan daring (online) | 5. Melaksanakan tugas peliputan kegiatan kelembagaan dalan bentuk foto dan video",Kab. Lombok Barat,,1,Aktif,2026-07-14,2026-07-28,Program studi: Komunikasi | Tingkat pendidikan: Sarjana,,2026-08-11T05:36:03Z
maganghub,a240d7e9-0168-4979-9b73-a10dfb8cff15,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/perawat-a240d7e9-0168-4979-9b73-a10dfb8cff15,28d0720d-482f-4e9a-93f1-c554497b1267,LEMBAGA PEMASYARAKATAN KELAS IIA LOMBOK BARAT,maganghub-28d0720d-482f-4e9a-93f1-c554497b1267,PERAWAT,perawat-a240d7e9-0168-4979-9b73-a10dfb8cff15,1. Memberikan perawatan medis dasar bagi pegawai dan warga binaan. | 2. Membantu dokter dalam tindakan medis. | 3. Melakukan pencatatan dan pelaporan kondisi pasien. | 4. Menjaga kebersihan serta kesiapan ruang perawatan.,Kab. Lombok Barat,,1,Aktif,2026-07-14,2026-07-28,Program studi: Keperawatan | Tingkat pendidikan: Sarjana,,2026-08-11T05:36:05Z
maganghub,a240e0ab-a3b4-48b6-b3e6-e7332a3f9004,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-sdm-a240e0ab-a3b4-48b6-b3e6-e7332a3f9004,28d0720d-482f-4e9a-93f1-c554497b1267,LEMBAGA PEMASYARAKATAN KELAS IIA LOMBOK BARAT,maganghub-28d0720d-482f-4e9a-93f1-c554497b1267,PENGELOLA SDM,pengelola-sdm-a240e0ab-a3b4-48b6-b3e6-e7332a3f9004,"1. Mengumpulkan data dan informasi yang relevan untuk bahan perumusan kebijakan. | 2. Membantu penyusunan naskah akademik, konsep kebijakan, atau pedoman pelaksanaan. | 3. Melakukan analisis sederhana terhadap data pendukung kebijakan. | 4. Menyusun bahan paparan, notulensi, dan laporan hasil rapat kebijakan. | 5. Mengarsipkan dokumen kebijakan dan referensi pendukung.",Kab. Lombok Barat,,1,Aktif,2026-07-14,2026-07-28,Program studi: Manajemen | Tingkat pendidikan: Sarjana,,2026-08-11T05:36:07Z
maganghub,a240d858-a57c-46d0-97e9-38590628f113,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/psikolog-a240d858-a57c-46d0-97e9-38590628f113,28d0720d-482f-4e9a-93f1-c554497b1267,LEMBAGA PEMASYARAKATAN KELAS IIA LOMBOK BARAT,maganghub-28d0720d-482f-4e9a-93f1-c554497b1267,PSIKOLOG,psikolog-a240d858-a57c-46d0-97e9-38590628f113,1. Melaksanakan asesmen psikologis | 2. Memberikan konseling dan rekomendasi psikologis sesuai kebutuhan satuan kerja. | 3. Menyusun laporan hasil asesmen dan rekomendasi psikologis secara profesional. | 4. Membantu dalam kegiatan pengembangan SDM dan peningkatan kesejahteraan mental pegawai. | 5. Melakukan observasi dan evaluasi terhadap kondisi psikologis lingkungan kerja.,Kab. Lombok Barat,,1,Aktif,2026-07-14,2026-07-28,Program studi: Psikologi | Tingkat pendidikan: Sarjana,,2026-08-11T05:36:09Z
maganghub,a240de9a-96c4-497b-84d9-e9ad52251bf7,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/perawat-kesehatan-a240de9a-96c4-497b-84d9-e9ad52251bf7,28d0720d-482f-4e9a-93f1-c554497b1267,LEMBAGA PEMASYARAKATAN KELAS IIA LOMBOK BARAT,maganghub-28d0720d-482f-4e9a-93f1-c554497b1267,PERAWAT KESEHATAN,perawat-kesehatan-a240de9a-96c4-497b-84d9-e9ad52251bf7,11. Memberikan perawatan kesehatan umum dan tindakan medis ringan. | 2. Menyusun catatan perkembangan pasien. | 3. Menjaga ketersediaan alat medis sederhana. | 4. Menyampaikan laporan kepada dokter atau pimpinan medis.,Kab. Lombok Barat,,1,Aktif,2026-07-14,2026-07-28,Program studi: Ilmu Gizi | Tingkat pendidikan: Sarjana,,2026-08-11T05:36:11Z
maganghub,a24103e6-e8fe-4937-9d85-1f913221de5c,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pembina-kepribadian-a24103e6-e8fe-4937-9d85-1f913221de5c,28d0720d-482f-4e9a-93f1-c554497b1267,LEMBAGA PEMASYARAKATAN KELAS IIA LOMBOK BARAT,maganghub-28d0720d-482f-4e9a-93f1-c554497b1267,PEMBINA KEPRIBADIAN,pembina-kepribadian-a24103e6-e8fe-4937-9d85-1f913221de5c,"1.	Menyusun dan melaksanakan program pembinaan kepribadian melalui kegiatan seni tari, seni musik, dan aktivitas kreatif lainnya bagi warga binaan. | 2.	Membimbing dan melatih warga binaan dalam pengembangan keterampilan seni sebagai sarana pembentukan karakter, disiplin, dan penguatan mental. | 3.	Melakukan pendampingan serta memantau perkembangan sikap, perilaku, dan partisipasi warga binaan selama mengikuti kegiatan pembinaan. | 4.	Menyusun materi dan metode pembelajaran seni yang mendukung proses rehabilitasi sosial dan reintegrasi warga binaan. | 5.	Mengoordinasikan pelaksanaan kegiatan pembinaan seni dengan petugas pemasyarakatan, instruktur, dan pihak terkait. | 6.	Menyelenggarakan kegiatan apresiasi dan pertunjukan seni sebagai media pengembangan bakat, ekspresi, serta peningkatan kepercayaan diri warga binaan. | 7.	Menyusun dokumentasi, evaluasi, dan laporan pelaksanaan program pembinaan kepribadian sebagai bahan pengembangan program pembinaan di Lembaga Pemasyarakatan.",Kab. Lombok Barat,,2,Aktif,2026-07-14,2026-07-28,"Program studi: Pendidikan Seni Musik, Pendidikan Seni Tari | Tingkat pendidikan: Sarjana",,2026-08-11T05:36:13Z
maganghub,a241033b-1ccd-4b20-9f4b-2e4aa75b3dfa,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-kegiatan-kerja-a241033b-1ccd-4b20-9f4b-2e4aa75b3dfa,28d0720d-482f-4e9a-93f1-c554497b1267,LEMBAGA PEMASYARAKATAN KELAS IIA LOMBOK BARAT,maganghub-28d0720d-482f-4e9a-93f1-c554497b1267,PENGELOLA KEGIATAN KERJA,pengelola-kegiatan-kerja-a241033b-1ccd-4b20-9f4b-2e4aa75b3dfa,"1.	Menyusun rencana dan mengelola kegiatan kerja warga binaan di bidang pertanian, peternakan, perikanan, atau perkebunan sesuai dengan potensi dan sarana yang tersedia. | 2.	Membimbing dan mengawasi pelaksanaan kegiatan kerja warga binaan agar sesuai dengan standar teknis, keselamatan kerja, dan tujuan pembinaan kemandirian. | 3.	Mengembangkan program pelatihan keterampilan dan kewirausahaan di bidang pertanian, peternakan, perikanan, atau perkebunan sebagai bekal reintegrasi sosial warga binaan. | 4.	Melakukan pemantauan dan evaluasi terhadap hasil pelaksanaan kegiatan kerja serta produktivitas program pembinaan kemandirian. | 5.	Mengelola sarana, prasarana, bahan, dan hasil produksi kegiatan kerja untuk mendukung keberlangsungan program pembinaan. | 6.	Berkoordinasi dengan unit kerja, instansi terkait, dan mitra kerja dalam pengembangan kegiatan kerja dan pemasaran hasil produksi sesuai ketentuan yang berlaku. | 7.	Menyusun dokumentasi, laporan pelaksanaan, dan evaluasi kegiatan kerja sebagai bahan pengambilan kebijakan dan peningkatan kualitas program pembinaan.",Kab. Lombok Barat,,7,Aktif,2026-07-14,2026-07-28,"Program studi: Ilmu Pertanian, Ilmu Perikanan, Budidaya Tanaman Perkebunan, Ilmu Peternakan | Tingkat pendidikan: Sarjana",,2026-08-11T05:36:15Z
maganghub,a243dfc4-f6b3-43fb-9a06-a55e5f94a116,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-penata-laksana-barang-a243dfc4-f6b3-43fb-9a06-a55e5f94a116,7e57905f-eb30-4081-a161-0cd871f18b36,BPOM di Kendari,maganghub-7e57905f-eb30-4081-a161-0cd871f18b36,Asisten Penata Laksana Barang,asisten-penata-laksana-barang-a243dfc4-f6b3-43fb-9a06-a55e5f94a116,"Penatausahaan BMN, meliputi : Administrasi, Penatausahaan, Pencatatan,  Pengamanan dan Pemeliharaan, Pemanfaatan dan Pemindahtanganan, Penghapusan dan Pengawasan",Kota Kendari,,2,Aktif,2026-07-14,2026-07-28,"Program studi: Teknik Informatika, Manajemen Aset, Akuntansi | Tingkat pendidikan: Sarjana",,2026-08-11T05:36:17Z
