source;source_id;source_url;perusahaan_source_id;perusahaan_nama;perusahaan_id;judul;slug;deskripsi;lokasi;durasi;kuota;status;tgl_buka;tgl_tutup;syarat;kontak_email;scraped_at;source,source_id,source_url,perusahaan_source_id,perusahaan_nama,perusahaan_id,judul,slug,deskripsi,lokasi,durasi,kuota,status,tgl_buka,tgl_tutup,syarat,kontak_email,scraped_at;;
maganghub;a24403e7-10f4-4de3-bfd9-c9dc80e1d7f1;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/human-resource-officer-a24403e7-10f4-4de3-bfd9-c9dc80e1d7f1;0687374a-5e3d-435b-ad45-96635b6333dc;Direktorat Pengendalian Operasi Armada;maganghub-0687374a-5e3d-435b-ad45-96635b6333dc;Human Resource Officer;human-resource-officer-a24403e7-10f4-4de3-bfd9-c9dc80e1d7f1;Membantu melakukan pengumpulan data dan analisis manajemen SDM Aparatur, menyusun profil kompetensi dan potensi psikologis, membantu dalam proses administrasi manajemen SDM Aparatur dan penyusunan laporan kegiatan manajemen SDM Aparatur;Kota Adm. Jakarta Pusat;;1;Aktif;14/07/2026;28/07/2026;Program studi: Manajemen Sumber Daya Manusia, Psikologi, Ilmu Administrasi Publik | Tingkat pendidikan: Sarjana;;2026-08-11T05:52:12Z;"maganghub,a24403e7-10f4-4de3-bfd9-c9dc80e1d7f1,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/human-resource-officer-a24403e7-10f4-4de3-bfd9-c9dc80e1d7f1,0687374a-5e3d-435b-ad45-96635b6333dc,Direktorat Pengendalian Operasi Armada,maganghub-0687374a-5e3d-435b-ad45-96635b6333dc,Human Resource Officer,human-resource-officer-a24403e7-10f4-4de3-bfd9-c9dc80e1d7f1,""Membantu melakukan pengumpulan data dan analisis manajemen SDM Aparatur, menyusun profil kompetensi dan potensi psikologis, membantu dalam proses administrasi manajemen SDM Aparatur dan penyusunan laporan kegiatan manajemen SDM Aparatur"",Kota Adm. Jakarta Pusat,,1,Aktif,2026-07-14,2026-07-28,""Program studi: Manajemen Sumber Daya Manusia, Psikologi, Ilmu Administrasi Publik | Tingkat pendidikan: Sarjana"",,2026-08-11T05:52:12Z";;
maganghub;a243fd53-05ce-41c3-8e54-cab365fa2469;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/petugas-kearsipan-a243fd53-05ce-41c3-8e54-cab365fa2469;0687374a-5e3d-435b-ad45-96635b6333dc;Direktorat Pengendalian Operasi Armada;maganghub-0687374a-5e3d-435b-ad45-96635b6333dc;Petugas Kearsipan;petugas-kearsipan-a243fd53-05ce-41c3-8e54-cab365fa2469;Membantu pengelolaan arsip dinamis dan statis, melakukan pencatatan dan penyimpanan dokumen sesuai sistem kearsipan, serta memastikan ketertiban administrasi dokumen;Kota Adm. Jakarta Pusat;;1;Aktif;14/07/2026;28/07/2026;Program studi: Kearsipan, Kearsipan Digital, Informasi, Perpustakaan & Kearsipan | Tingkat pendidikan: Diploma, Sarjana;;2026-08-11T05:52:14Z;"maganghub,a243fd53-05ce-41c3-8e54-cab365fa2469,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/petugas-kearsipan-a243fd53-05ce-41c3-8e54-cab365fa2469,0687374a-5e3d-435b-ad45-96635b6333dc,Direktorat Pengendalian Operasi Armada,maganghub-0687374a-5e3d-435b-ad45-96635b6333dc,Petugas Kearsipan,petugas-kearsipan-a243fd53-05ce-41c3-8e54-cab365fa2469,""Membantu pengelolaan arsip dinamis dan statis, melakukan pencatatan dan penyimpanan dokumen sesuai sistem kearsipan, serta memastikan ketertiban administrasi dokumen"",Kota Adm. Jakarta Pusat,,1,Aktif,2026-07-14,2026-07-28,""Program studi: Kearsipan, Kearsipan Digital, Informasi, Perpustakaan & Kearsipan | Tingkat pendidikan: Diploma, Sarjana"",,2026-08-11T05:52:14Z";;
maganghub;a23fcc94-bb7a-46e9-8697-2ab20b902a80;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-bmn-a23fcc94-bb7a-46e9-8697-2ab20b902a80;50028fe7-6c71-4039-a1d8-be4112d7dfe6;LEMBAGA PEMASYARAKATAN KELAS IIB BANJAR;maganghub-50028fe7-6c71-4039-a1d8-be4112d7dfe6;PENGELOLA BMN;pengelola-bmn-a23fcc94-bb7a-46e9-8697-2ab20b902a80;1. Mengelola aset dan inventaris milik negara di unit kerja.2. Mencatat penerimaan, pemakaian, dan penghapusan barang.3. Melakukan inventarisasi berkala.4. Menyusun laporan aset sesuai ketentuan.;Kota Banjar;;1;Aktif;14/07/2026;28/07/2026;Program studi: Manajemen Aset Publik | Tingkat pendidikan: Sarjana;;2026-08-11T05:52:16Z;"maganghub,a23fcc94-bb7a-46e9-8697-2ab20b902a80,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-bmn-a23fcc94-bb7a-46e9-8697-2ab20b902a80,50028fe7-6c71-4039-a1d8-be4112d7dfe6,LEMBAGA PEMASYARAKATAN KELAS IIB BANJAR,maganghub-50028fe7-6c71-4039-a1d8-be4112d7dfe6,PENGELOLA BMN,pengelola-bmn-a23fcc94-bb7a-46e9-8697-2ab20b902a80,""1. Mengelola aset dan inventaris milik negara di unit kerja.2. Mencatat penerimaan, pemakaian, dan penghapusan barang.3. Melakukan inventarisasi berkala.4. Menyusun laporan aset sesuai ketentuan."",Kota Banjar,,1,Aktif,2026-07-14,2026-07-28,Program studi: Manajemen Aset Publik | Tingkat pendidikan: Sarjana,,2026-08-11T05:52:16Z";;
maganghub;a23fc6d1-b62e-486a-8c33-b519b69a81a1;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/psikologi-a23fc6d1-b62e-486a-8c33-b519b69a81a1;50028fe7-6c71-4039-a1d8-be4112d7dfe6;LEMBAGA PEMASYARAKATAN KELAS IIB BANJAR;maganghub-50028fe7-6c71-4039-a1d8-be4112d7dfe6;PSIKOLOGI;psikologi-a23fc6d1-b62e-486a-8c33-b519b69a81a1;1. Melaksanakan asesmen psikologis | 2. Memberikan konseling dan rekomendasi psikologis sesuai kebutuhan satuan kerja. | 3. Menyusun laporan hasil asesmen dan rekomendasi psikologis secara profesional. | 4. Membantu dalam kegiatan pengembangan SDM dan peningkatan kesejahteraan mental pegawai. | 5. Melakukan observasi dan evaluasi terhadap kondisi psikologis lingkungan kerja.;Kota Banjar;;1;Aktif;14/07/2026;28/07/2026;Program studi: Psikologi | Tingkat pendidikan: Sarjana;;2026-08-11T05:52:18Z;maganghub,a23fc6d1-b62e-486a-8c33-b519b69a81a1,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/psikologi-a23fc6d1-b62e-486a-8c33-b519b69a81a1,50028fe7-6c71-4039-a1d8-be4112d7dfe6,LEMBAGA PEMASYARAKATAN KELAS IIB BANJAR,maganghub-50028fe7-6c71-4039-a1d8-be4112d7dfe6,PSIKOLOGI,psikologi-a23fc6d1-b62e-486a-8c33-b519b69a81a1,1. Melaksanakan asesmen psikologis | 2. Memberikan konseling dan rekomendasi psikologis sesuai kebutuhan satuan kerja. | 3. Menyusun laporan hasil asesmen dan rekomendasi psikologis secara profesional. | 4. Membantu dalam kegiatan pengembangan SDM dan peningkatan kesejahteraan mental pegawai. | 5. Melakukan observasi dan evaluasi terhadap kondisi psikologis lingkungan kerja.,Kota Banjar,,1,Aktif,2026-07-14,2026-07-28,Program studi: Psikologi | Tingkat pendidikan: Sarjana,,2026-08-11T05:52:18Z;;
maganghub;a23fcd1e-5f05-4f45-b03c-93738a5dcfad;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-kehumasan-a23fcd1e-5f05-4f45-b03c-93738a5dcfad;50028fe7-6c71-4039-a1d8-be4112d7dfe6;LEMBAGA PEMASYARAKATAN KELAS IIB BANJAR;maganghub-50028fe7-6c71-4039-a1d8-be4112d7dfe6;PENGELOLA KEHUMASAN;pengelola-kehumasan-a23fcd1e-5f05-4f45-b03c-93738a5dcfad;1. Menyusun materi layanan informasi untuk media elektronik | 2. Menyusun berita pelayanan informasi dan kehumasan melalui media: cetak, elektornik dan daring (online) | 3. Menyusun naskah pelayanan informasi dan kehumasan dalam bentuk: ceramah, piodato, dan bahan tayang | 4. Menyelenggarakan penerbitan materi pelayanan informasi untuk media cetak, elektronik, dan daring (online) | 5. Melaksanakan tugas peliputan kegiatan kelembagaan dalan bentuk foto dan video;Kota Banjar;;1;Aktif;14/07/2026;28/07/2026;Program studi: Komunikasi | Tingkat pendidikan: Sarjana;;2026-08-11T05:52:20Z;"maganghub,a23fcd1e-5f05-4f45-b03c-93738a5dcfad,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-kehumasan-a23fcd1e-5f05-4f45-b03c-93738a5dcfad,50028fe7-6c71-4039-a1d8-be4112d7dfe6,LEMBAGA PEMASYARAKATAN KELAS IIB BANJAR,maganghub-50028fe7-6c71-4039-a1d8-be4112d7dfe6,PENGELOLA KEHUMASAN,pengelola-kehumasan-a23fcd1e-5f05-4f45-b03c-93738a5dcfad,""1. Menyusun materi layanan informasi untuk media elektronik | 2. Menyusun berita pelayanan informasi dan kehumasan melalui media: cetak, elektornik dan daring (online) | 3. Menyusun naskah pelayanan informasi dan kehumasan dalam bentuk: ceramah, piodato, dan bahan tayang | 4. Menyelenggarakan penerbitan materi pelayanan informasi untuk media cetak, elektronik, dan daring (online) | 5. Melaksanakan tugas peliputan kegiatan kelembagaan dalan bentuk foto dan video"",Kota Banjar,,1,Aktif,2026-07-14,2026-07-28,Program studi: Komunikasi | Tingkat pendidikan: Sarjana,,2026-08-11T05:52:20Z";;
maganghub;a23fc74e-83f4-45ab-8ad4-3b6fe0fca452;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/psikiater-a23fc74e-83f4-45ab-8ad4-3b6fe0fca452;50028fe7-6c71-4039-a1d8-be4112d7dfe6;LEMBAGA PEMASYARAKATAN KELAS IIB BANJAR;maganghub-50028fe7-6c71-4039-a1d8-be4112d7dfe6;PSIKIATER;psikiater-a23fc74e-83f4-45ab-8ad4-3b6fe0fca452;1. Menangani gangguan kesehatan jiwa warga binaan atau pegawai.2. Melakukan asesmen psikologis dan terapi.3. Menyusun laporan perkembangan pasien.4. Memberikan rekomendasi tindak lanjut pemulihan.;Kota Banjar;;1;Aktif;14/07/2026;28/07/2026;Program studi: Kedokteran | Tingkat pendidikan: Sarjana;;2026-08-11T05:52:22Z;maganghub,a23fc74e-83f4-45ab-8ad4-3b6fe0fca452,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/psikiater-a23fc74e-83f4-45ab-8ad4-3b6fe0fca452,50028fe7-6c71-4039-a1d8-be4112d7dfe6,LEMBAGA PEMASYARAKATAN KELAS IIB BANJAR,maganghub-50028fe7-6c71-4039-a1d8-be4112d7dfe6,PSIKIATER,psikiater-a23fc74e-83f4-45ab-8ad4-3b6fe0fca452,1. Menangani gangguan kesehatan jiwa warga binaan atau pegawai.2. Melakukan asesmen psikologis dan terapi.3. Menyusun laporan perkembangan pasien.4. Memberikan rekomendasi tindak lanjut pemulihan.,Kota Banjar,,1,Aktif,2026-07-14,2026-07-28,Program studi: Kedokteran | Tingkat pendidikan: Sarjana,,2026-08-11T05:52:22Z;;
maganghub;a241583a-0fc2-404e-8688-f5efa7f188cc;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-sdm-a241583a-0fc2-404e-8688-f5efa7f188cc;50028fe7-6c71-4039-a1d8-be4112d7dfe6;LEMBAGA PEMASYARAKATAN KELAS IIB BANJAR;maganghub-50028fe7-6c71-4039-a1d8-be4112d7dfe6;PENGELOLA SDM;pengelola-sdm-a241583a-0fc2-404e-8688-f5efa7f188cc;1. Mengumpulkan data dan informasi yang relevan untuk bahan perumusan kebijakan. | 2. Membantu penyusunan naskah akademik, konsep kebijakan, atau pedoman pelaksanaan. | 3. Melakukan analisis sederhana terhadap data pendukung kebijakan. | 4. Menyusun bahan paparan, notulensi, dan laporan hasil rapat kebijakan. | 5. Mengarsipkan dokumen kebijakan dan referensi pendukung.;Kota Banjar;;1;Aktif;14/07/2026;28/07/2026;Program studi: Ilmu Ekonomi, Ilmu Administrasi Publik, Ilmu Hukum, Ilmu Pemerintahan | Tingkat pendidikan: Sarjana;;2026-08-11T05:52:24Z;"maganghub,a241583a-0fc2-404e-8688-f5efa7f188cc,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-sdm-a241583a-0fc2-404e-8688-f5efa7f188cc,50028fe7-6c71-4039-a1d8-be4112d7dfe6,LEMBAGA PEMASYARAKATAN KELAS IIB BANJAR,maganghub-50028fe7-6c71-4039-a1d8-be4112d7dfe6,PENGELOLA SDM,pengelola-sdm-a241583a-0fc2-404e-8688-f5efa7f188cc,""1. Mengumpulkan data dan informasi yang relevan untuk bahan perumusan kebijakan. | 2. Membantu penyusunan naskah akademik, konsep kebijakan, atau pedoman pelaksanaan. | 3. Melakukan analisis sederhana terhadap data pendukung kebijakan. | 4. Menyusun bahan paparan, notulensi, dan laporan hasil rapat kebijakan. | 5. Mengarsipkan dokumen kebijakan dan referensi pendukung."",Kota Banjar,,1,Aktif,2026-07-14,2026-07-28,""Program studi: Ilmu Ekonomi, Ilmu Administrasi Publik, Ilmu Hukum, Ilmu Pemerintahan | Tingkat pendidikan: Sarjana"",,2026-08-11T05:52:24Z";;
maganghub;a23fcc05-e9bc-4bb0-9d4a-2f870d8b06f8;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/perawat-kesehatan-a23fcc05-e9bc-4bb0-9d4a-2f870d8b06f8;50028fe7-6c71-4039-a1d8-be4112d7dfe6;LEMBAGA PEMASYARAKATAN KELAS IIB BANJAR;maganghub-50028fe7-6c71-4039-a1d8-be4112d7dfe6;PERAWAT KESEHATAN;perawat-kesehatan-a23fcc05-e9bc-4bb0-9d4a-2f870d8b06f8;1. Memberikan perawatan kesehatan umum dan tindakan medis ringan.2. Menyusun catatan perkembangan pasien.3. Menjaga ketersediaan alat medis sederhana.4. Menyampaikan laporan kepada dokter atau pimpinan medis.;Kota Banjar;;1;Aktif;14/07/2026;28/07/2026;Program studi: Ilmu Gizi | Tingkat pendidikan: Sarjana;;2026-08-11T05:52:26Z;maganghub,a23fcc05-e9bc-4bb0-9d4a-2f870d8b06f8,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/perawat-kesehatan-a23fcc05-e9bc-4bb0-9d4a-2f870d8b06f8,50028fe7-6c71-4039-a1d8-be4112d7dfe6,LEMBAGA PEMASYARAKATAN KELAS IIB BANJAR,maganghub-50028fe7-6c71-4039-a1d8-be4112d7dfe6,PERAWAT KESEHATAN,perawat-kesehatan-a23fcc05-e9bc-4bb0-9d4a-2f870d8b06f8,1. Memberikan perawatan kesehatan umum dan tindakan medis ringan.2. Menyusun catatan perkembangan pasien.3. Menjaga ketersediaan alat medis sederhana.4. Menyampaikan laporan kepada dokter atau pimpinan medis.,Kota Banjar,,1,Aktif,2026-07-14,2026-07-28,Program studi: Ilmu Gizi | Tingkat pendidikan: Sarjana,,2026-08-11T05:52:26Z;;
maganghub;a23fc652-2b53-400a-b1af-a88d4a8589c3;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/perawat-a23fc652-2b53-400a-b1af-a88d4a8589c3;50028fe7-6c71-4039-a1d8-be4112d7dfe6;LEMBAGA PEMASYARAKATAN KELAS IIB BANJAR;maganghub-50028fe7-6c71-4039-a1d8-be4112d7dfe6;PERAWAT;perawat-a23fc652-2b53-400a-b1af-a88d4a8589c3;1. Memberikan perawatan medis dasar bagi pegawai dan warga binaan. | 2. Membantu dokter dalam tindakan medis. | 3. Melakukan pencatatan dan pelaporan kondisi pasien. | 4. Menjaga kebersihan serta kesiapan ruang perawatan.;Kota Banjar;;1;Aktif;14/07/2026;28/07/2026;Program studi: Keperawatan | Tingkat pendidikan: Sarjana;;2026-08-11T05:52:28Z;maganghub,a23fc652-2b53-400a-b1af-a88d4a8589c3,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/perawat-a23fc652-2b53-400a-b1af-a88d4a8589c3,50028fe7-6c71-4039-a1d8-be4112d7dfe6,LEMBAGA PEMASYARAKATAN KELAS IIB BANJAR,maganghub-50028fe7-6c71-4039-a1d8-be4112d7dfe6,PERAWAT,perawat-a23fc652-2b53-400a-b1af-a88d4a8589c3,1. Memberikan perawatan medis dasar bagi pegawai dan warga binaan. | 2. Membantu dokter dalam tindakan medis. | 3. Melakukan pencatatan dan pelaporan kondisi pasien. | 4. Menjaga kebersihan serta kesiapan ruang perawatan.,Kota Banjar,,1,Aktif,2026-07-14,2026-07-28,Program studi: Keperawatan | Tingkat pendidikan: Sarjana,,2026-08-11T05:52:28Z;;
maganghub;a23fcec3-4cf0-4f8e-b772-1aa9ba316aef;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-sdm-a23fcec3-4cf0-4f8e-b772-1aa9ba316aef;50028fe7-6c71-4039-a1d8-be4112d7dfe6;LEMBAGA PEMASYARAKATAN KELAS IIB BANJAR;maganghub-50028fe7-6c71-4039-a1d8-be4112d7dfe6;PENGELOLA SDM;pengelola-sdm-a23fcec3-4cf0-4f8e-b772-1aa9ba316aef;1. Mengumpulkan data dan informasi yang relevan untuk bahan perumusan kebijakan. | 2. Membantu penyusunan naskah akademik, konsep kebijakan, atau pedoman pelaksanaan. | 3. Melakukan analisis sederhana terhadap data pendukung kebijakan. | 4. Menyusun bahan paparan, notulensi, dan laporan hasil rapat kebijakan. | 5. Mengarsipkan dokumen kebijakan dan referensi pendukung.;Kota Banjar;;1;Aktif;14/07/2026;28/07/2026;Program studi: Manajemen | Tingkat pendidikan: Sarjana;;2026-08-11T05:52:30Z;"maganghub,a23fcec3-4cf0-4f8e-b772-1aa9ba316aef,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-sdm-a23fcec3-4cf0-4f8e-b772-1aa9ba316aef,50028fe7-6c71-4039-a1d8-be4112d7dfe6,LEMBAGA PEMASYARAKATAN KELAS IIB BANJAR,maganghub-50028fe7-6c71-4039-a1d8-be4112d7dfe6,PENGELOLA SDM,pengelola-sdm-a23fcec3-4cf0-4f8e-b772-1aa9ba316aef,""1. Mengumpulkan data dan informasi yang relevan untuk bahan perumusan kebijakan. | 2. Membantu penyusunan naskah akademik, konsep kebijakan, atau pedoman pelaksanaan. | 3. Melakukan analisis sederhana terhadap data pendukung kebijakan. | 4. Menyusun bahan paparan, notulensi, dan laporan hasil rapat kebijakan. | 5. Mengarsipkan dokumen kebijakan dan referensi pendukung."",Kota Banjar,,1,Aktif,2026-07-14,2026-07-28,Program studi: Manajemen | Tingkat pendidikan: Sarjana,,2026-08-11T05:52:30Z";;
