source;source_id;source_url;perusahaan_source_id;perusahaan_nama;perusahaan_id;judul;deskripsi;lokasi;kuota;status;tgl_buka;tgl_tutup;syarat;kontak_email;scraped_at
maganghub;a235cbc6-cb42-43bc-b8dd-2a97a143a1fa;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/sales-generalis-a235cbc6-cb42-43bc-b8dd-2a97a143a1fa;27f0e322-7473-4da0-984d-314c1570528d;Perusahaan Perseroan (Persero) Bank Negara Indonesia;maganghub-27f0e322-7473-4da0-984d-314c1570528d;Sales Generalis;1)        Mempelajari manajemen pipeline sesuai dengan produk dan layanan BNI. | 2)        Mempelajari aktivitas penjualan harian seperti morning briefing, sales clinic, atau event pemasaran cabang. | 3)        Mempelajari marketing management serta menyusun laporan sederhana terkait pencapaian kinerja harian.;Kab. Parigi Moutong;1;Aktif;14/07/2026;28/07/2026;Program studi: Akuntansi Keuangan, Keuangan Dan Perbankan, Ekonomi, Ilmu Komunikasi, Manajemen Keuangan Perbankan | Tingkat pendidikan: Sarjana;gcg@bni.co.id;2026-08-11T06:22:28Z
maganghub;a235cd1e-7a77-403b-a610-1ec083fc5a6c;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/sales-generalis-a235cd1e-7a77-403b-a610-1ec083fc5a6c;27f0e322-7473-4da0-984d-314c1570528d;Perusahaan Perseroan (Persero) Bank Negara Indonesia;maganghub-27f0e322-7473-4da0-984d-314c1570528d;Sales Generalis;1)        Mempelajari manajemen pipeline sesuai dengan produk dan layanan BNI. | 2)        Mempelajari aktivitas penjualan harian seperti morning briefing, sales clinic, atau event pemasaran cabang. | 3)        Mempelajari marketing management serta menyusun laporan sederhana terkait pencapaian kinerja harian.;Kab. Parigi Moutong;1;Aktif;14/07/2026;28/07/2026;Program studi: Keuangan dan Perbankan, Komunikasi, Ilmu Komunikasi, Akuntansi, Ekonomi, Keuangan dan Perbankan | Tingkat pendidikan: Sarjana;gcg@bni.co.id;2026-08-11T06:22:30Z
maganghub;a235d0a7-91e5-45d8-b1c9-b839826d1c15;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/sales-generalis-a235d0a7-91e5-45d8-b1c9-b839826d1c15;27f0e322-7473-4da0-984d-314c1570528d;Perusahaan Perseroan (Persero) Bank Negara Indonesia;maganghub-27f0e322-7473-4da0-984d-314c1570528d;Sales Generalis;1)        Mempelajari manajemen pipeline sesuai dengan produk dan layanan BNI. | 2)        Mempelajari aktivitas penjualan harian seperti morning briefing, sales clinic, atau event pemasaran cabang. | 3)        Mempelajari marketing management serta menyusun laporan sederhana terkait pencapaian kinerja harian.;Kab. Parigi Moutong;1;Aktif;14/07/2026;28/07/2026;Program studi: Komunikasi, Akuntansi Keuangan, Manajemen Komunikasi, Ekonomi, Manajemen Keuangan Perbankan | Tingkat pendidikan: Sarjana;gcg@bni.co.id;2026-08-11T06:22:32Z
maganghub;a235cf2f-9027-428d-9128-fa5c5528f4d7;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/sales-generalis-a235cf2f-9027-428d-9128-fa5c5528f4d7;27f0e322-7473-4da0-984d-314c1570528d;Perusahaan Perseroan (Persero) Bank Negara Indonesia;maganghub-27f0e322-7473-4da0-984d-314c1570528d;Sales Generalis;1)        Mempelajari manajemen pipeline sesuai dengan produk dan layanan BNI. | 2)        Mempelajari aktivitas penjualan harian seperti morning briefing, sales clinic, atau event pemasaran cabang. | 3)        Mempelajari marketing management serta menyusun laporan sederhana terkait pencapaian kinerja harian.;Kab. Parigi Moutong;1;Aktif;14/07/2026;28/07/2026;Program studi: Komunikasi, Ilmu Ekonomi, Ekonomi, Perbankan dan Keuangan, Ekonomi, Keuangan dan Perbankan | Tingkat pendidikan: Sarjana;gcg@bni.co.id;2026-08-11T06:22:33Z
maganghub;a235cc9c-16b5-4634-9938-34dd47886f69;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/sales-generalis-a235cc9c-16b5-4634-9938-34dd47886f69;27f0e322-7473-4da0-984d-314c1570528d;Perusahaan Perseroan (Persero) Bank Negara Indonesia;maganghub-27f0e322-7473-4da0-984d-314c1570528d;Sales Generalis;1)        Mempelajari manajemen pipeline sesuai dengan produk dan layanan BNI. | 2)        Mempelajari aktivitas penjualan harian seperti morning briefing, sales clinic, atau event pemasaran cabang. | 3)        Mempelajari marketing management serta menyusun laporan sederhana terkait pencapaian kinerja harian.;Kab. Parigi Moutong;1;Aktif;14/07/2026;28/07/2026;Program studi: Komunikasi, Ekonomi, Perbankan dan Keuangan, Administrasi Keuangan Dan Perbankan, Akuntansi | Tingkat pendidikan: Sarjana;gcg@bni.co.id;2026-08-11T06:22:36Z
maganghub;a236eac7-ede5-4fe9-a9e0-1f0d476a2440;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/bni-digital-asisstant-bda-a236eac7-ede5-4fe9-a9e0-1f0d476a2440;4a29722b-9d28-4a22-a923-90c9508e81f4;Perusahaan Perseroan (Persero) Bank Negara Indonesia;maganghub-4a29722b-9d28-4a22-a923-90c9508e81f4;BNI Digital Asisstant (BDA);1)        Mempelajari customer & channel management al. terkait penggunaan layanan dan aplikasi digital BNI (mis: wondr & channel digital lainnya). | 2)        Mempelajari aktivitas pendampingan nasabah dalam melakukan transaksi digital sederhana serta memberikan panduan penggunaan fitur digital secara langsung. | 3)        Mempelajari kegiatan promosi atau digital campaign di cabang melalui aktivitas trial experience, sosialisasi, dan pembuatan laporan hasil kegiatan.;Kota Solok;1;Aktif;14/07/2026;28/07/2026;Program studi: Komunikasi, Administrasi, Pendidikan Komputer, Pemasaran Digital, Perbankan Dan Keuangan Digital | Tingkat pendidikan: Diploma, Sarjana;bnicabangsolok@gmail.com;2026-08-11T06:22:38Z
maganghub;a234d926-e898-4ed9-9936-928bbf727b6e;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/bni-digital-assistant-bda-a234d926-e898-4ed9-9936-928bbf727b6e;c7ffad20-b754-43d4-aea7-f80ab9d6a749;Perusahaan Perseroan (Persero) Bank Negara Indonesia;maganghub-c7ffad20-b754-43d4-aea7-f80ab9d6a749;BNI Digital Assistant (BDA);1) mempelajari customer & channel management al. terkait penggunaan layanan dan aplikasi digital BNI (mis: wondr by BNI, channel digital lainnya). 2) mempelajari aktivitas pendampingan nasabah dalam melakukan transaksi digital sederhana serta memberikan panduan penggunaan fitur digital secara langsung. 3) mempelajari kegiatan promosi atau digital campaign di cabang melalui aktivitas trial experience, sosialisasi, dan pembuatan laporan hasil kegiatan.;Kab. Sintang;1;Aktif;14/07/2026;28/07/2026;Program studi: Manajemen Komunikasi, Ilmu Komunikasi, Ekonomi, Keuangan dan Perbankan | Tingkat pendidikan: Sarjana;gcg@bni.co.id;2026-08-11T06:22:40Z
maganghub;a235c8c6-9cb5-4b1f-a55e-c596b4589fa9;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/bni-digital-asisstant-bda-a235c8c6-9cb5-4b1f-a55e-c596b4589fa9;27f0e322-7473-4da0-984d-314c1570528d;Perusahaan Perseroan (Persero) Bank Negara Indonesia;maganghub-27f0e322-7473-4da0-984d-314c1570528d;BNI Digital Asisstant (BDA);1)        Mempelajari customer & channel management al. terkait penggunaan layanan dan aplikasi digital BNI (mis: wondr & channel digital lainnya). | 2)        Mempelajari aktivitas pendampingan nasabah dalam melakukan transaksi digital sederhana serta memberikan panduan penggunaan fitur digital secara langsung. | 3)        Mempelajari kegiatan promosi atau digital campaign di cabang melalui aktivitas trial experience, sosialisasi, dan pembuatan laporan hasil kegiatan.;Kab. Parigi Moutong;1;Aktif;14/07/2026;28/07/2026;Program studi: Akuntansi Bisnis Digital, Keuangan Dan Perbankan, Pemasaran Digital, Jaringan Telekomunikasi Digital, Perbankan Dan Keuangan Digital | Tingkat pendidikan: Sarjana;gcg@bni.co.id;2026-08-11T06:22:42Z
maganghub;a234dbb8-3ea6-4d25-9604-8a7006c51774;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/administrasi-sales-a234dbb8-3ea6-4d25-9604-8a7006c51774;c7ffad20-b754-43d4-aea7-f80ab9d6a749;Perusahaan Perseroan (Persero) Bank Negara Indonesia;maganghub-c7ffad20-b754-43d4-aea7-f80ab9d6a749;Administrasi Sales;1) mempelajari pengelolaan data, dokumen kegiatan penjualan produk, & jasa BNI. 2) mempelajari pembuatan laporan kinerja dan kegiatan promosi cabang. 3) mempelajari aktivitas tim sales dalam kegiatan administrasi, surat menyurat, dan persiapan event.;Kab. Sintang;1;Aktif;14/07/2026;28/07/2026;Program studi: Administrasi, Administrasi Publik, Administrasi Bisnis Terapan, Administrasi Bisnis, Administrasi Perkantoran | Tingkat pendidikan: Sarjana;gcg@bni.co.id;2026-08-11T06:22:43Z
maganghub;a241ae50-e687-4d24-b92e-12e02617eb2d;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/inventory-a241ae50-e687-4d24-b92e-12e02617eb2d;376d24ac-c31a-4b15-9bb6-a47ceedcc12f;Changhong Electric Indonesia;maganghub-376d24ac-c31a-4b15-9bb6-a47ceedcc12f;Inventory;Job Description: | 1.Membantu penerimaan dan pengecekan aktual kedatangan barang. | 2. Membantu penginputan data masuk/keluar kedatangan impor & lokal serta mengarsipkan dokumen fisik sesuai surat jalan. | 3. Membantu stock opname aset. | 4. Mengelola permintaan barang kebutuhan produksi. | 5. Membantu penempatan dan merapihkan kedatangan barang impor.;Kota Adm. Jakarta Pusat;1;Aktif;14/07/2026;28/07/2026;Program studi: Sistem Informasi Bisnis, Manajemen, Teknik Industri, Teknik Manufaktur, Teknik Logistik | Tingkat pendidikan: Diploma, Sarjana;indonesia.changhong.electric@gmail.com;2026-08-11T06:22:46Z
maganghub;a241ac46-2cdd-446e-9614-01d69c354bd9;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/quality-assurance-a241ac46-2cdd-446e-9614-01d69c354bd9;376d24ac-c31a-4b15-9bb6-a47ceedcc12f;Changhong Electric Indonesia;maganghub-376d24ac-c31a-4b15-9bb6-a47ceedcc12f;Quality Assurance;Job Description: | 1. Menyusun dan menganalisis laporan NG dari konsumen dan data dari tim Service (trend NG). | 2. Menerima permintaan pembuatan, perubahan, atau penghapusan dokumen. | 3. Melakukan pengecekan format dan kelengkapan dokumen sebelum diterbitkan. | 4. Mengendalikan dokumen eksternal (standar SNI, ISO, IEC, regulasi pemerintah, customer requirement, dll.). | 5. Membantu persiapan audit internal dan eksternal.;Kota Adm. Jakarta Pusat;1;Aktif;14/07/2026;28/07/2026;Program studi: Teknik Mesin, Teknik Industri, Teknik Manufaktur, Teknik Elektronika, Administrasi Perkantoran | Tingkat pendidikan: Diploma, Sarjana;indonesia.changhong.electric@gmail.com;2026-08-11T06:22:48Z
maganghub;a241aa56-f374-4db2-9e89-2554163f4281;https://maganghub.kemnaker.go.id/magang-nasional/lowongan/human-resource-a241aa56-f374-4db2-9e89-2554163f4281;376d24ac-c31a-4b15-9bb6-a47ceedcc12f;Changhong Electric Indonesia;maganghub-376d24ac-c31a-4b15-9bb6-a47ceedcc12f;Human Resource;Job Description: | - Membantu proses administrasi Human Resources, termasuk pengelolaan dokumen karyawan. | - Mengelola serta memperbarui database karyawan dan dokumen HR. | - Menyiapkan laporan dan rekap data HR sesuai kebutuhan. | - Mendukung aktivitas operasional HR lainnya sesuai arahan Manager;Kota Adm. Jakarta Pusat;1;Aktif;14/07/2026;28/07/2026;Program studi: Manajemen Sumber Daya Manusia, Teknik lndustri, Manajemen, Psikologi, Ilmu Hukum | Tingkat pendidikan: Diploma, Sarjana;indonesia.changhong.electric@gmail.com;2026-08-11T06:22:50Z
