source,source_id,source_url,perusahaan_source_id,perusahaan_nama,perusahaan_id,judul,deskripsi,lokasi,kuota,status,tgl_buka,tgl_tutup,syarat,kontak_email,scraped_at
glints,cace7574-b2f3-4ef4-9328-ee7bd12cacd9,https://glints.com/id/opportunities/jobs/waru/cace7574-b2f3-4ef4-9328-ee7bd12cacd9,29a08bf8-0a8c-44b6-9ff4-b4a85a1e8199,PT Reja Aton Energi,glints-29a08bf8-0a8c-44b6-9ff4-b4a85a1e8199,Internship Digital Marketing,"KUALIFIKASI | 1. Mahasiswa semester akhir/Freshgraduate dipersilahkan. | 2. Berminat tinggi dalam editing video dan memahami tren konten video vertikal terkini (TikTok, IG Reels, YouTube Shorts) | 3. Paham copywriting & social media menjadi nilai plus | 4. Paham mengenai optimasi SEO (YouTube/Website) menjadi poin plus. | 5. Wajib memiliki device (Laptop min. i3/i5) dan kendaraan pribadi | 6. Inisiatif, Kreatif, Teamwork | 7. Bersedia berkantor di Sedati, Sidoarjo (Central Park Juanda) | 8. Terbuka kesempatan berkarir sebagai karyawan REJATON | BENEFITS | 1. Insentif : Uang Saku 500rb/bulan | 2. Pengalaman praktis dari tim profesional PT REJA ATON ENERGI | 3. Sertifikat Magang",Waru,,Aktif,2026-08-11,2026-09-11,"Tingkat Pendidikan: DIPLOMA | Pengalaman Minimal: 0 tahun | Keahlian: Content Marketing, Content Strategy, Social Media, Digital Marketing, Video Editing, Image Editing",,2026-08-11T06:59:26Z
glints,8b280396-3df0-4bef-b4d4-5299b26cdebf,https://glints.com/id/opportunities/jobs/tangerang/8b280396-3df0-4bef-b4d4-5299b26cdebf,3793e8bd-a065-4805-9376-cceec151bfc3,Koba Agency,glints-3793e8bd-a065-4805-9376-cceec151bfc3,Open Recruitment: Program Magang – Koba Agency,"NON-HIJAB!!!!!!! | 📌 Posisi yang Dibuka: | 1. Intern HR | Membantu proses rekrutmen (screening CV, jadwal interview) | Membantu administrasi kontrak & data karyawan/talent | Membantu monitoring absensi & payroll support | Membantu penyusunan SOP & dokumen HR | 2. Intern Customer Service (CS) | Menangani pertanyaan & keluhan mitra/talent | Follow-up komunikasi harian dengan talent/creator | Input dan update data komplain/permintaan | Membantu menjaga hubungan baik dengan talent | 3. Intern Content | Membantu pembuatan konten promosi (foto/video/caption) | Riset tren TikTok & ide konten kreator | Membantu pengelolaan sosial media perusahaan | Kolaborasi dengan tim talent untuk konten kolaboratif | 4. Intern Finance | Membantu input data transaksi & laporan keuangan harian | Membantu rekap pembayaran talent/komisi | Membantu proses administrasi invoice/nota | Belajar sistem payroll & keuangan operasional agency | ✅ Kualifikasi Umum | Mahasiswa aktif (min. semester 5) atau fresh graduate, jurusan sesuai posisi diutamakan | Jujur, disiplin, dan mau belajar hal baru | Mampu bekerja dalam tim maupun individu | Domisili Tangerang/sekitar atau bersedia WFO di Pagedangan | Membawa surat pengantar magang dari kampus (jika ada) | 🎁 Benefit | Uang saku | Sertifikat magang | Pengalaman langsung di industri kreator digital yang berkembang pesat | Peluang direkrut sebagai karyawan tetap",Tangerang,,Aktif,2026-08-10,2026-09-10,"Tingkat Pendidikan: HIGH_SCHOOL | Pengalaman Minimal: 0 tahun | Keahlian: Microsoft Office, Microsoft Excel, Customer Service, Teamwork, Presentation Skills, Administration, Microsoft Word, Communication, Analytical Skills, Public Speaking",,2026-08-11T06:59:29Z
glints,f8cf8fa7-74c3-474b-b998-1fc1237afa68,https://glints.com/id/opportunities/jobs/setiabudi/f8cf8fa7-74c3-474b-b998-1fc1237afa68,fd0b938b-cd04-4481-b3bd-b5bbd9bf6e45,Glints Taploker,glints-fd0b938b-cd04-4481-b3bd-b5bbd9bf6e45,Social Media Intern - Glints Future Leader Programme,"At Glints, we are building the #1 tech-enabled recruitment and career discovery platform in Southeast Asia that helps people and organizations realize their human potential. Join the Glints Future Leaders Programme (GFLP) a structured internship designed to develop high-potential students into the next generation of regional leaders in the talent platform and HR tech industry. | We’re looking for a Social Media Intern to join our Marketing team, to drive Glints brand awareness through high-quality and engaging social media content that suits our audience needs on Instagram and TikTok, and follows Glints social media content pillar and visual guidelines. | What You’ll Be Doing: | End-to-end social media content creation, from planning, scheduling, producing, publishing, and content performance tracking | Increase consideration for Glints social media audience to use Glints app/web | Monitoring social media channels for trends, opportunities, and customer feedback | Engaging with our online community to foster brand loyalty and drive engagement | Staying up-to-date with industry trends and best practices in social media marketing | Why You Should Join Us | Regional Exposure: Be immersed in our Southeast Asia Talent ecosystem, from Discovery Week to cross-functional regional projects, you’ll collaborate with teams and stakeholders across Singapore, Indonesia, and beyond. | Guided Mentorship:  Every GFLP intern is paired with a Hiring Manager (Mentor) for professional growth and a Team Buddy for social integration within the assigned department. | High-stakes Projects: Work on a key project independently or as a team to solve a real-business problem with potential for implementation. | Leadership Access: Gathering and sharing sessions with our key leaders, founders and CEO, and participate in our key business review meetings. | Post-Internship Recognition: At the end of your internship, you will present your key project/learnings to a leadership panel and receive a ""GFLP Certificate"" as an endorsement. You will also be evaluated based on your project and work outcomes for a full-time conversion opportunity (priority for final year students or graduates). | Who We Are Looking For: | Final Year Student/Fresh graduate, preferably with the Bachelor's degree in Marketing, Communications, or related field | Minimum 6 months of experience  in social media management or related field | Strong understanding of social media platforms, algorithms, and best practices | Excellent written and verbal communication skills, both Indonesian and English | Analytical mindset with the ability to interpret data and insights to drive decision-making | Proven track record of managing successful social media campaigns | Bachelor's degree in Marketing, Communications, or related field preferred | Working Details: | Working arrangement: On-site in RDTX Square, Kuningan, Jakarta | Working Days: Monday-Friday, 9AM to 6PM | Bring Your Own Devices Policy: You're expected to bring your own devices (laptop, phone) | Let’s Realize Human Potential. | At Glints, we are building the #1 tech-enabled recruitment and career discovery platform in Southeast Asia that helps people and organizations realize their human potential. We have impacted many lives but there’s still plenty to be done. If you’re ready to grow and make an impact, you’ve come to the right place. | What is Glints? | Glints is the leading talent ecosystem in Southeast Asia, with an enduring purpose of contributing to a world where people and organizations can realize their human potential. | Today, Glints is the most well-funded and well-capitalized startup in the talent recruitment space in Southeast Asia, with over US$80M in total investments raised till date. | Our tech-enabled approach to recruitment and career discovery connects more than 3 million candidates to their next dream opportunities. We have also supported more than 50,000 companies in finding top talent and doubling recruitment efficiency. | Our agility and firm hold on our core purpose and values have allowed us to remain resilient and thrive through tumultuous times. | In 2020, we were recognized by LinkedIn as one of the Top 10 Startups in Singapore. In 2022, we were featured in the top 20 of Nikkei-FT-Statista High-Growth Companies Asia-Pacific 2021 list. Moreover, we were also featured in the top 10 fastest-growing companies in Singapore by The Straits Times. | Who We Are | At Glints, personal and professional growth are just as important as business growth. That's why we created the Glints Culture Code: #RIIBCOH. It defines our values, is what guides our decisions and actions, and is what makes us special. | #RIIBCOH: | 1. Relentlessly Resourceful: Whatever it takes, just make it happen (ethically) | 2. Integrity: Have courage, be guided by the truth, don’t be afraid | 3. Impact: Missionaries, not mercenaries | 4. Beginners’ Mindset: Stay humble, don’t be attached to ego | 5. Customer Obsessed: Customers First | 6. Ownership: Care intensely about the mission and take responsibility | 7. High Standards: Dream big and deliver epic outcomes fast | Where we work | Since Glints was officially launched in Singapore in 2015, we've rapidly grown our footprint across Greater Southeast Asia to operate in Indonesia, Singapore, Vietnam, Taiwan, Malaysia and Philippines.",Setiabudi,,Aktif,2026-08-10,2026-09-10,"Tingkat Pendidikan: DIPLOMA | Pengalaman Minimal: 0 tahun | Keahlian: Public Speaking, Microsoft Word, Microsoft Office, Microsoft Excel, Presentation Skills, Customer Service, Communication, Analytical Skills, Administration, Teamwork",,2026-08-11T06:59:32Z
glints,669371bc-400d-4c76-8add-6a6337d3c0f2,https://glints.com/id/opportunities/jobs/suko-manunggal/669371bc-400d-4c76-8add-6a6337d3c0f2,49357e27-5d61-464d-96f7-22bdff48822e,Sunrace Surabaya,glints-49357e27-5d61-464d-96f7-22bdff48822e,Videografer Internship,"Kami sedang mencari Videografer Intership yang berbakat untuk bergabung dan bekerja bersama kami. | Status posisi: Magang (6 Bulan) | Lokasi: Surabaya, Indonesia | Tugas & Tanggung Jawab: | Produksi video, termasuk: mengelola dan mengatur file video mentah (raw) maupun yang sudah diedit, serta memastikan hasil sesuai dengan standar yang ditentukan oleh perusahaan. | Mengelola dan melakukan sesi dan penugasan videoshoot, in-studio dan on location | Membuat desain grafis sederhana untuk aset video. | Bekerja sama dengan rekan satu tim. | Memelihara dan memelihara peralatan videografi. | Mengikuti dan menerapkan panduan brand perusahaan. | Kualifikasi: | Memiliki pengalaman dalam shooting dan editing video (diutamakan) | Memiliki kemampuan organisasi, analisis, dan pemecahan masalah yang kuat. | Jujur, komunikatif, aktif, dan bertanggung jawab | Up-to-date, punya taste yang bagus, peka terhadap tren, dan berpengalaman menggunakan kamera. | Menguasai Adobe Family seperti Adobe Premiere, After Effects, dan Photoshop.",Suko Manunggal,,Aktif,2026-01-11,2026-09-06,"Tingkat Pendidikan: HIGH_SCHOOL | Pengalaman Minimal: 0 tahun | Keahlian: Video Editing, Videography, Capcut",,2026-08-11T06:59:35Z
glints,d9f2bfa0-c57d-4073-a325-8102b19d7cb5,https://glints.com/id/opportunities/jobs/setiabudi/d9f2bfa0-c57d-4073-a325-8102b19d7cb5,fd0b938b-cd04-4481-b3bd-b5bbd9bf6e45,Glints Taploker,glints-fd0b938b-cd04-4481-b3bd-b5bbd9bf6e45,Lead Generation Intern,"At Glints, we are building the #1 tech-enabled recruitment and career discovery platform in Southeast Asia that helps people and organizations realize their human potential. | We’re looking for a Lead Generation Intern to join our Internal Product team, to play a critical part in supporting the rollout of our new sales system, ensuring we have a robust and qualified leads database to drive business success. | What You’ll Be Doing | Assist in cleaning and enriching potential leads data by adding relevant information, such as contact details, to ensure the database is complete and accurate. | Conduct thorough research to identify and gather potential sources of leads. | Build and maintain a high-quality database of qualified leads, ensuring accuracy and regular updates. | Collaborate closely with the sales and product teams to refine and optimize the lead generation and tracking processes. | Proactively identify gaps in scrapped competitor platform data and supplement missing essential information. | Monitor and report on lead generation activities to ensure progress aligns with sales and business goals. | Why You Should Join Us | Impactful Work: You will contribute directly to the success of a high-growth company by ensuring the sales team has the data they need to succeed. | Learning Opportunity: Work closely with experienced sales and product professionals to refine your technical and strategic skills. | Career Growth: Gain hands-on experience with a large-scale sales system rollout, giving you exposure to cutting-edge tools and methods in lead generation and sales operations. | Who We Are Looking For | Prior experience or academic exposure in lead generation, sales, or sales operations. | Proficiency in Microsoft Excel or Google Sheets and CRM tools like Hubspot. | Strong ability to research, analyze, and organize data effectively. | Attention to detail with the capability to identify and address data inconsistencies. | A proactive and self-driven approach to solving problems and completing tasks. | Excellent collaboration and communication skills to work seamlessly with cross-functional teams. | Adaptable and eager to learn in a dynamic and fast-paced environment. | Proficient in English is a plus | Operational Details | Working arrangement: On-site in RDTX Square, Kuningan, Jakarta | Working day & hour: Monday-Friday, 9am-6pm WIB. | Glints implements a Bring-Your-Own-Devices policy, meaning employee is expected to bring their own devices to do the day-to-day work | Let’s Realize Human Potential. | At Glints, we are building the #1 tech-enabled recruitment and career discovery platform in Southeast Asia that helps people and organizations realize their human potential. | We have impacted many lives but there’s still plenty to be done. If you’re ready to grow and make an impact, you’ve come to the right place. | What is Glints? | Glints is the leading talent ecosystem in Southeast Asia, with an enduring purpose of contributing to a world where people and organizations can realize their human potential. | Today, Glints is the most well-funded and well-capitalized startup in the talent recruitment space in Southeast Asia, with over US$80M in total investments raised till date. | Our tech-enabled approach to recruitment and career discovery connects more than 3 million candidates to their next dream opportunities. We have also supported more than 50,000 companies in finding top talent and doubling recruitment efficiency. | Our agility and firm hold on our core purpose and values have allowed us to remain resilient and thrive through tumultuous times. | In 2020, we were recognized by LinkedIn as one of the Top 10 Startups in Singapore. In 2022, we were featured in the top 20 of Nikkei-FT-Statista High-Growth Companies Asia-Pacific 2021 list. Moreover, we were also featured in the top 10 fastest-growing companies in Singapore by The Straits Times. | Who We Are | At Glints, personal and professional growth are just as important as business growth. That's why we created the Glints Culture Code: #RIIBCOH. It defines our values, is what guides our decisions and actions, and is what makes us special. | #RIIBCOH: | 1. Relentlessly Resourceful: Whatever it takes, just make it happen (ethically) | 2. Integrity: Have courage, be guided by the truth, don’t be afraid | 3. Impact: Missionaries, not mercenaries | 4. Beginners’ Mindset: Stay humble, don’t be attached to ego | 5. Customer Obsessed: Customers First | 6. Ownership: Care intensely about the mission and take responsibility | 7. High Standards: Dream big and deliver epic outcomes fast | Where we work | Since Glints was officially launched in Singapore in 2015, we've rapidly grown our footprint across Greater Southeast Asia to operate in Indonesia, Singapore, Vietnam, Taiwan, Malaysia and Philippines.",Setiabudi,,Aktif,2025-12-30,2026-09-12,"Tingkat Pendidikan: BACHELOR_DEGREE | Pengalaman Minimal: 0 tahun | Keahlian: Data Entry, HubSpot, Lead Generation, Google Sheets",,2026-08-11T06:59:38Z
glints,86428525-d093-46c6-8c3c-8190934340b0,https://glints.com/id/opportunities/jobs/setiabudi/86428525-d093-46c6-8c3c-8190934340b0,fd0b938b-cd04-4481-b3bd-b5bbd9bf6e45,Glints Taploker,glints-fd0b938b-cd04-4481-b3bd-b5bbd9bf6e45,Employer Acquisition Intern,"At Glints, we are building the #1 tech-enabled recruitment and career discovery platform in Southeast Asia that helps people and organisations realise their human potential by joining great organisations, learning the right skills and building great teams. | We’re looking for a Employer Acquisition Intern to join our Online Talent Platform - Commercial team for 6 months, to help the growth of our company in Indonesia. Employer Acquisition Intern will be responsible for growing the numbers of active companies and job listings of Glints Job Portal by approaching new clients and maintain relationship with existing clients. | Note: There's a possibility to be converted as full-timer if intern was able to exceed the target given. | What You’ll Be Doing | As a Employer Acquisition Intern, you’ll dive into the exciting world of client acquisition and relationship management! You’ll gain hands-on experience, connecting with clients and identifying new opportunities while supporting our dynamic sales team | Employer/Company Acquisition: Acquire companies to use Glints Job Portal through outbound cold calls, emails, or site visits (if needed) | Client Relationship Management: Build and maintain strong client relationships, understand their recruitment needs, provide tailored solutions, and handle inquiries and issues | Who We Are Looking For | Fresh graduates or last-year students, with experience in lead generation/business development/sales. | Willing to do WFO in Jakarta (those that can start immediately will be prioritized!) | Goal-driven, having an interest or experience in telemarketing would be an advantage. | Good Time Management: Self-organized person to maintain productivity between sourcing, calling and other possible administrative task | Proactively Customer- Obsessed: Shows sensitivity toward customer needs, able to gain deep understanding of users and develop solutions that meet their needs | Excellent questioning skills: Knows how to collect info in a question format where can help you get objective feedback from the audience without bias, understands the importance of setting up a hypothesis before collecting the feedback and review | Let’s Realise Human Potential. | We are building the #1 tech-enabled recruitment platform in Greater Southeast Asia that helps people build their dreams by joining great organisations, learning the right skills and building great teams. | We have impacted many lives but there’s still plenty to be done. If you’re ready to grow and make an impact, you’ve come to the right place. | What is Glints? | Glints is an online talent recruitment and career discovery platform with an enduring purpose of contributing to a world where people and organisations can realize their human potential. | Our tech-enabled approach to recruitment and career discovery connects more than 1.5 million candidates to their next dream opportunities, has supported more than 30,000 companies in finding top talents, doubled recruiter efficiency, and has raised more than US$30M+ from best venture investors in Asia to date. | Our agility and firm hold on our core purpose and values have allowed us to remain resilient and thrive through tumultuous times. | We are proud to be recognized by LinkedIn as one of the Top 10 Startups in Singapore in 2020. | Who We Are | At Glints, personal and professional growth are just as important as business growth. That's why we created the Glints Culture Code: #RIIBCOH. It defines our values, is what guides our decisions and actions, and is what makes us special. | #RIIBCOH: | 1.Relentlessly Resourceful: Whatever it takes, just make it happen (ethically) | 2.Integrity: Have courage, be guided by the truth, don’t be afraid | 3.Impact: Missionaries, not mercenaries | 4.Beginners’ Mindset: Stay humble, don’t be attached to ego | 5.Customer Obsessed: Customers First | 6.Ownership: Care intensely about the mission and take responsibility | 7.High Standards: Dream big and deliver epic outcomes fast | Where we work | Since Glints was founded in Singapore in 2013, we've rapidly grown our footprint across Greater Southeast Asia to operate in Indonesia, Singapore, Vietnam, Taiwan and Malaysia.",Setiabudi,,Aktif,2026-03-25,2026-09-06,"Tingkat Pendidikan: DIPLOMA | Pengalaman Minimal: 0 tahun | Keahlian: Cold Calling, B2B Sales, Client Acquisition, Data Scraping",,2026-08-11T06:59:41Z
glints,68cc2bfe-1ba8-4246-a93c-56944df695a5,https://glints.com/id/opportunities/jobs/setiabudi/68cc2bfe-1ba8-4246-a93c-56944df695a5,fd0b938b-cd04-4481-b3bd-b5bbd9bf6e45,Glints Taploker,glints-fd0b938b-cd04-4481-b3bd-b5bbd9bf6e45,Sales Intern,"At Glints, we are building the #1 tech-enabled recruitment and career discovery platform in Southeast Asia that helps people and organisations realise their human potential by joining great organisations, learning the right skills and building great teams. | We’re looking for a Sales Intern to join our Online Talent Platform - Commercial team for 3 months, to help the growth of our company in Indonesia. Sales Intern will be responsible for growing the numbers of active listings and upsold accounts of Glints Job Portal by approaching new clients and maintain relationship with existing clients. | Note: There's a possibility to be converted as full-timer if intern was able to exceed the target given. | What You’ll Be Doing | As a Sales Intern, you’ll dive into the exciting world of client acquisition and relationship management! You’ll gain hands-on experience, connecting with clients and identifying new opportunities while supporting our dynamic sales team | Company Acquisition: Acquire companies to use Glints Job Portal in specific industries through outbound cold calls, emails, or site visits | Client Relationship Management: Build and maintain strong client relationships, understand their recruitment needs, provide tailored solutions, and handle inquiries and issues | Who We Are Looking For | Fresh graduates or last-year students, with experience in lead generation/business development/sales | Willing to do WFO in Jakarta (those that can start immediately will be prioritized!) | Goal-driven | Good Time Management: Self-organized person to maintain productivity between sourcing, calling and other possible administrative task | Proactively Customer- Obsessed: Shows sensitivity toward customer needs, able to gain deep understanding of users and develop solutions that meet their needs | Excellent questioning skills: Knows how to collect info in a question format where can help you get objective feedback from the audience without bias, understands the importance of setting up a hypothesis before collecting the feedback and review",Setiabudi,,Aktif,2025-01-20,2026-08-19,"Tingkat Pendidikan: DIPLOMA | Pengalaman Minimal: 0 tahun | Keahlian: Business Development, Client Acquisition, Communication Skills",,2026-08-11T06:59:44Z
glints,582ac468-d46e-4846-9338-9259a71d6e0a,https://glints.com/id/opportunities/jobs/kembangan/582ac468-d46e-4846-9338-9259a71d6e0a,9f6f1e45-7935-4d67-9440-4423797c0883,Lifewell.id,glints-9f6f1e45-7935-4d67-9440-4423797c0883,Business Executive Intern part 2,"Business Executive Intern (Paid) | BEST Internship Program (Affiliated with Allianz Indonesia) | Location: Jakarta, Indonesia (Hybrid learning with occasional field activities) | Duration: September – November 2026 (3 Months) | Employment Type: Full-Time Internship (Fresh Graduates Only) | Compensation: Rp 3,000,000/month fixed allowance + optional performance incentives | --- | About BEST | BEST is an Allianz-affiliated insurance agency committed to helping Indonesian families build stronger financial protection while developing the next generation of business professionals. | For over 18 years, our mentors have coached young professionals who have gone on to successful careers in financial services, entrepreneurship, and business leadership. More than 100 have achieved MDRT qualification (the top 0.5% of insurance advisors worldwide) and 80+ are earning more than Rp 1 billion/year. | Our belief is simple: | Professional success begins with strong character, excellent communication, and a willingness to keep learning. | --- | What You'll Learn | Our internship follows a progressive curriculum designed to help you build confidence before stepping into real business situations. | Month 1: Build Your Foundation | Before meeting clients, you'll develop a strong understanding of: | * Indonesia's financial services industry | * Insurance and risk management fundamentals | * Wealth advisory concepts | * Professional ethics | * Client communication | * AAJI and/or AASI certification preparation | We believe understanding should always come before execution. | Month 2: Develop Practical Business Skills | You'll begin applying your knowledge through workshops, roleplays, mentor feedback, and collaborative learning. | Topics include: | * Professional presentations | * Executive communication | * Negotiation | * Networking | * Business development | * Ethical marketing | The objective is to help you become confident communicating ideas, building trust, and creating value. | Month 3: Experience the Profession | As your confidence grows, you'll have opportunities to observe and participate in real business activities alongside experienced mentors. Depending on your readiness and interests, you may participate in: | * Client observations | * Business development activities | * Professional networking events | * Financial consultations | * Mentor shadowing | Your experience is guided throughout the internship, and participation is matched to your development. | --- | What You'll Leave With | Regardless of whether you continue in insurance or financial services, you'll graduate with: | * AASI certification (AAJI available for eligible participants) | * Strong presentation and communication skills | * Practical experience in business development | * Exposure to financial planning and wealth advisory | * Mentorship from experienced professionals | * Greater confidence in networking and relationship-building | * A valuable professional network | --- | Schedule | 7 – 14 August     : registration | 15 & 18 August  : virtual test | 19 - 21 August : interview | 23 August: announcement | 26 - 29 August: orientation | --- | Who We're Looking For | This internship is ideal for someone who: | * Is a fresh graduate from a reputable university in Indonesia or overseas | * Enjoys learning and taking on new challenges | * Has strong communication skills or wants to develop them | * Is coachable, disciplined, and proactive | * Wants practical experience beyond classroom learning | * Is curious about business, entrepreneurship, or financial services | * Has access to transportation within Jakarta (preferred) | No previous experience in insurance or sales is required. | Note: we will automatically reject applicants who are registered as active agents within the insurance industry. | --- | Why Join BEST? | • Learn From Experienced Mentors | Receive direct guidance from professionals with nearly two decades of industry experience and internationally recognized achievements. | • Build Transferable Skills | Communication, negotiation, networking, presentation, and relationship management are valuable in consulting, banking, entrepreneurship, sales, management, and countless other careers. | • Learn Through Experience | Develop your skills through workshops, roleplays, mentor feedback, business exposure, and real-world observations—not just classroom sessions. | • Join an Ambitious Community | Learn alongside peers who are equally committed to personal and professional growth through workshops, networking events, and team activities. | • Explore Before You Commit | By the end of the internship, you'll have a much clearer understanding of both yourself and the financial services industry. | If it's the right fit, outstanding interns may receive an opportunity to continue with BEST full-time.",Kembangan,,Aktif,2026-08-07,2026-09-07,"Tingkat Pendidikan: BACHELOR_DEGREE | Pengalaman Minimal: 0 tahun | Keahlian: Communication Skills, Customer Service, Sales Management, Sales and Marketing",,2026-08-11T06:59:47Z
glints,396e536d-406f-4194-a884-38a2008a6909,https://glints.com/id/opportunities/jobs/sukolilo/396e536d-406f-4194-a884-38a2008a6909,0bfd9a0e-bf72-4c21-b550-fa3d2b1b5b98,PT. Indo Emkay Abadi,glints-0bfd9a0e-bf72-4c21-b550-fa3d2b1b5b98,Brand Activation Executive (Internship Surabaya),"Brand Activation Executive Internship | Area Surabaya | Deskripsi Pekerjaan: | Sebagai Brand Activation Executive Internship, Anda akan berperan dalam mendukung pelaksanaan dan pengelolaan program aktivasi brand melalui berbagai saluran pemasaran. Tugas utama Anda mencakup pelaksanaan strategi promosi untuk meningkatkan kesadaran dan keterlibatan konsumen dengan brand perusahaan. Anda akan bekerja sama dengan tim marketing dan distribusi untuk memastikan keberhasilan implementasi program aktivasi. | Tanggung Jawab Pekerjaan | 1. Aktivasi Event di Vapestore | Melakukan persiapan (setup) dan pembongkaran (breakdown) peralatan activation di lokasi vapestore. | Menjalankan aktivitas open tester untuk memperkenalkan produk kepada customer. | Menjelaskan informasi produk, varian flavor, serta keunggulan produk kepada customer. | Secara aktif mendorong penjualan produk melalui pendekatan hard selling dan interaksi langsung dengan customer. | Berkoordinasi dengan staff vapestore terkait pelaksanaan activation di lokasi. | Mengumpulkan data customer, feedback, serta insight yang diperoleh selama kegiatan activation. | 2. Aktivitas Non-Event (Hari Tanpa Aktivasi) | Menyiapkan peralatan, stok produk, serta materi yang dibutuhkan untuk kegiatan activation berikutnya. | Melakukan input data, rekap, dan pengumpulan laporan kegiatan setiap event. | Melakukan evaluasi terhadap performa activation yang telah dijalankan. | Berkoordinasi dengan tim internal terkait persiapan, pelaksanaan, dan evaluasi kegiatan. | 3. Aktivasi Event Komunitas | Menjalankan aktivitas activation sesuai dengan konsep acara dan rundown yang telah ditentukan. | Menjadi representasi brand dalam kegiatan komunitas dan membangun hubungan baik dengan peserta acara. | Mendukung kegiatan penjualan dan distribusi produk selama event berlangsung. | Kualifikasi: | Minimal SLTA di bidang pemasaran, manajemen, atau bidang terkait. | Pengalaman 1 tahun di event marketing atau promosi. | Pemahaman dasar tentang sales, strategi aktivasi brand dan tren pasar terkini. | Kreatif dan inovatif dalam mengembangkan ide-ide promosi. | Kemampuan analitis untuk mengevaluasi kinerja aktivasi. | Komunikasi dan negosiasi yang baik. | Keterampilan organisasi yang baik untuk mengelola event dan promosi. | Detail-oriented dan mampu membuat laporan evaluasi dengan baik.",Sukolilo,,Aktif,2026-08-10,2026-09-10,"Tingkat Pendidikan: HIGH_SCHOOL | Pengalaman Minimal: 0 tahun | Keahlian: Communication Skills, Marketing Communications, Sales and Marketing",,2026-08-11T06:59:50Z
glints,a1a5f1f1-ff38-44b2-9b26-fd1318136494,https://glints.com/id/opportunities/jobs/pademangan/a1a5f1f1-ff38-44b2-9b26-fd1318136494,6b45413a-f10f-4ee4-913e-cc9e40d8ec40,Felaufeẽ,glints-6b45413a-f10f-4ee4-913e-cc9e40d8ec40,Graphic Designer Intern,"This is a full-time Internship role for a Graphic Designer Intern located in Sunter, Jakarta. As a Graphic Designer Intern, you will work directly with our CEO & Founder, gaining hands-on mentorship while contributing to real projects that shape our brand. | Job Description | Assist in creating engaging visual designs for social media, marketing campaigns, and promotional materials | Assist in designing product packaging, labels, and branding assets | Support in product photoshoots, video content, and campaign creatives | Job Requirements | Final-year student or fresh graduate in Graphic Design, Visual Communication Design, or a related field | Proficient in Adobe Illustrator and Adobe Photoshop | Familiar with AI design tools (e.g. Adobe Firefly, Midjourney, Gemini) is a plus | Strong understanding of layout, typography, and branding | Creative, detail-oriented, and eager to learn | Willing to work full-time from our office in Sunter, North Jakarta",Pademangan,,Aktif,2026-08-07,2026-09-07,"Tingkat Pendidikan: HIGH_SCHOOL | Pengalaman Minimal: 0 tahun | Keahlian: Adobe Photoshop, Brand Design, Logo Design, Graphic Design, Typography, Adobe Illustrator, Packaging Design",,2026-08-11T06:59:53Z
